task,model_name,capacity_name,dataset_size,n_off_diagonal,mean_degradation,worst_degradation,worst_pair_r_train,worst_pair_r_eval,train_low_eval_high,train_high_eval_low,transfer_asymmetry
diffusion,fno,large,1000,16,1.1668230830469404,1.5572120191283783,32,512,1.221024579572327,1.0764872555046294,0.8816261961587024
diffusion,fno,large,5000,16,1.0742115431682455,1.2216254950848149,128,32,1.0655783558487466,1.088600188700744,1.021605011706211
diffusion,fno,med-large,50,16,0.9952893924915914,1.0699091758906625,128,32,0.9720570456870122,1.0340099704992234,1.0637338364935416
diffusion,fno,med-large,100,16,1.0081406766728969,1.1015640917184208,256,32,0.9836957566903746,1.0488822099771016,1.0662668846982177
diffusion,fno,med-large,500,16,1.155121230078624,1.4880476876873618,32,512,1.156039460408209,1.153590846195983,0.9978818939179106
diffusion,fno,med-large,1000,16,1.165406041942454,1.5308932331777254,32,512,1.192468505715449,1.1203019356541288,0.9394813618008115
diffusion,fno,med-large,5000,16,1.173006594612561,1.692927863779123,32,512,1.2299579400952028,1.078087685474825,0.876524026009684
diffusion,fno,medium,50,16,0.9955963693568788,1.1165132899723667,256,32,0.9535049445856003,1.0657487439756759,1.1177170606481306
diffusion,fno,medium,100,16,1.0168983866899393,1.1249357495635934,256,32,0.9926966205185115,1.0572346636423184,1.0650128566873704
diffusion,fno,medium,500,16,1.3441250073863837,2.4728803856000288,32,512,1.476461929481915,1.1235634705604987,0.7609837057937233
diffusion,fno,medium,1000,16,1.1927668076637703,1.4572179556869442,32,512,1.1981405092247812,1.1838106383954186,0.9880399079081014
diffusion,fno,medium,5000,16,1.3013844620393726,2.1019073164643554,32,512,1.3766926076364745,1.1758708860442024,0.8541274061629156
diffusion,fno,small,50,16,1.001971375651498,1.2098164509926002,256,32,0.9623839385625086,1.0679504374664803,1.1096927064905655
diffusion,fno,small,100,16,1.0673545206338628,1.3592869877561837,256,32,1.0389663332632444,1.1146681662515603,1.0728626429602846
diffusion,fno,small,500,16,1.4758649350002389,2.421329905780516,32,512,1.5252628881789685,1.3935350130356896,0.9136359534056778
diffusion,fno,small,1000,16,1.5368119180494582,2.4731220879504088,128,32,1.4792334815602073,1.632775978864876,1.1037986898070486
diffusion,fno,small,5000,16,1.7418190272061316,3.3496910936234703,32,512,1.8266932572914925,1.6003619770638629,0.8760978181070096
diffusion,fno,small-med,50,16,1.003015853799714,1.1043021411523137,256,32,0.973556941531893,1.052114040912749,1.0806908112197795
diffusion,fno,small-med,100,16,1.0684496537402302,1.258495433508964,32,512,1.0596628811432722,1.0830942747351602,1.0221121207592059
diffusion,fno,small-med,500,16,1.325895940859148,1.8637537426362654,32,512,1.336696656040072,1.3078947488909418,0.9784529219707522
diffusion,fno,small-med,1000,16,1.3430803585515485,1.8222131966258028,256,32,1.3314965830843832,1.3623866509968237,1.0231995097132613
diffusion,fno,small-med,5000,16,1.6277871069473973,2.7316089169016684,32,512,1.6647384867618347,1.5662014739233348,0.9408093141222624
diffusion,fno,tiny,50,16,1.0224068750486555,1.1651925771751235,256,32,0.9934833591751749,1.07061273483779,1.0776352970085485
diffusion,fno,tiny,100,16,1.0307736443989293,1.1479645537933123,128,32,1.009174217947543,1.066772688484573,1.0570748533926815
diffusion,fno,tiny,500,16,1.0898574565714607,1.3160556164743316,256,32,1.0857172088343898,1.096757869466579,1.0101690021511607
