task,model_name,capacity_name,dataset_size,resolution_train,resolution_eval,n_runs,n_success,median_test_rel_l2,iqr_test_rel_l2,seed_cv_test_rel_l2,worst_test_rel_l2,best_test_rel_l2,parent_convergence_rate,parent_converged,parent_median_test_rel_l2,degradation_vs_diagonal,is_r48_train
burgers_operator,deeponet,med-large,100,256,32,4,4,0.5487208068370819,0.006303802132606506,0.014289915157436365,0.5539466142654419,0.5357564687728882,1.0,True,0.39226560294628143,1.3988501737487957,False
burgers_operator,deeponet,med-large,100,256,64,4,4,0.45397536456584925,0.010444924235343933,0.026536999664055747,0.4712832570075989,0.4422579109668731,1.0,True,0.39226560294628143,1.1573162702925512,False
burgers_operator,deeponet,med-large,100,256,128,4,4,0.4010903984308243,0.013352520763873998,0.03813004297675004,0.4241612553596496,0.3875025510787964,1.0,True,0.39226560294628143,1.0224969903510794,False
burgers_operator,deeponet,med-large,100,256,512,4,4,0.391589418053627,0.014279909431934412,0.041897335789991524,0.4166279137134552,0.3773353993892669,1.0,True,0.39226560294628143,0.998276206510141,False
burgers_operator,deeponet,med-large,500,32,64,4,4,0.4393441677093506,0.013009980320930425,0.03223069240257967,0.4442257583141327,0.4140075743198395,1.0,True,0.5173888504505157,0.8491566204544071,False
burgers_operator,deeponet,med-large,500,32,128,4,4,0.3976490646600723,0.012905769050121363,0.03626114372651447,0.4035723507404327,0.3722425997257232,1.0,True,0.5173888504505157,0.7685690642808013,False
burgers_operator,deeponet,med-large,500,32,256,4,4,0.3940014988183975,0.012451395392417963,0.03396262290978875,0.4005714654922485,0.3710398972034454,1.0,True,0.5173888504505157,0.7615191136711221,False
burgers_operator,deeponet,med-large,500,32,512,4,4,0.3956814557313919,0.012109510600566809,0.03199214028672472,0.4024706184864044,0.3743278682231903,1.0,True,0.5173888504505157,0.7647661046171612,False
burgers_operator,deeponet,med-large,500,64,32,4,4,0.49607063829898834,0.005804270505905096,0.013843938518259888,0.5057112574577332,0.4891205728054046,1.0,True,0.39058759808540344,1.270062441128816,False
burgers_operator,deeponet,med-large,500,64,128,4,4,0.3315584063529968,0.008263692259788569,0.0224377627569391,0.3445262312889099,0.3285589218139648,1.0,True,0.39058759808540344,0.848870798710051,False
burgers_operator,deeponet,med-large,500,64,256,4,4,0.32391154766082764,0.007826484739780482,0.023310303153644473,0.337300956249237,0.3208982646465301,1.0,True,0.39058759808540344,0.8292929659021154,False
burgers_operator,deeponet,med-large,500,64,512,4,4,0.3249303251504898,0.007433831691741943,0.022835534665267155,0.3381808698177337,0.3219941854476928,1.0,True,0.39058759808540344,0.8319012860194362,False
burgers_operator,deeponet,med-large,500,128,32,4,4,0.5063733458518982,0.006062552332878113,0.013847135243769302,0.5184856057167053,0.5024851560592651,1.0,True,0.33783864974975586,1.4988615015688096,False
burgers_operator,deeponet,med-large,500,128,64,4,4,0.39585831761360163,0.01214601844549179,0.024983230416385695,0.4114947021007538,0.3899018764495849,1.0,True,0.33783864974975586,1.1717378041465123,False
burgers_operator,deeponet,med-large,500,128,256,4,4,0.3158874958753586,0.018002152442932073,0.0446749717221537,0.3382845520973205,0.3078284561634063,1.0,True,0.33783864974975586,0.9350247406841788,False
burgers_operator,deeponet,med-large,500,128,512,4,4,0.31513713300228113,0.01823856681585312,0.04544892155075449,0.3382170498371124,0.307495504617691,1.0,True,0.33783864974975586,0.9328036719176737,False
burgers_operator,deeponet,med-large,500,256,32,4,4,0.5127113163471222,0.019139617681503296,0.03166130515474021,0.5400464534759521,0.505018413066864,1.0,True,0.31913876533508295,1.6065466563073145,False
burgers_operator,deeponet,med-large,500,256,64,4,4,0.4010170102119446,0.01889058947563177,0.04977158892047944,0.4385398328304291,0.3954114615917206,1.0,True,0.31913876533508295,1.2565600101601344,False
burgers_operator,deeponet,med-large,500,256,128,4,4,0.3318224996328354,0.020727835595607813,0.0737852127125235,0.3797927796840668,0.3267475664615631,1.0,True,0.31913876533508295,1.039743634040932,False
burgers_operator,deeponet,med-large,500,256,512,4,4,0.31805081665515894,0.02129582315683365,0.08166919025531477,0.3693866431713104,0.3129197061061859,1.0,True,0.31913876533508295,0.9965909854956614,False
burgers_operator,deeponet,med-large,1000,32,64,4,4,0.4218233674764633,0.006217233836650848,0.01914641107650393,0.4237865805625915,0.4066997170448303,1.0,True,0.5022913813591003,0.8397981393491033,False
burgers_operator,deeponet,med-large,1000,32,128,4,4,0.3803758919239044,0.005227029323577825,0.02113770032756997,0.381417453289032,0.3648700714111328,1.0,True,0.5022913813591003,0.757281343141272,False
burgers_operator,deeponet,med-large,1000,32,256,4,4,0.3768948763608932,0.004676349461078644,0.019345656736366703,0.3801462352275848,0.3638339936733246,1.0,True,0.5022913813591003,0.7503510718043594,False
burgers_operator,deeponet,med-large,1000,32,512,4,4,0.37889410555362696,0.004349075257778168,0.018339205004362497,0.3831917941570282,0.36710986495018,1.0,True,0.5022913813591003,0.7543312897952082,False
burgers_operator,deeponet,med-large,1000,64,32,4,4,0.4973555952310562,0.00634614378213888,0.01294787059393714,0.5039331912994385,0.4886139631271362,1.0,True,0.3961975574493408,1.2553222145864689,False
