task,model_name,capacity_name,dataset_size,r_low,r_high,ratio
burgers_operator,deeponet,small-med,2000,32,64,0.807534323806251
burgers_operator,deeponet,small-med,2000,64,128,0.8658664568761911
burgers_operator,deeponet,small-med,2000,96,192,0.9109543355631023
burgers_operator,deeponet,small-med,2000,128,256,0.9559072847184742
burgers_operator,deeponet,small-med,2000,192,384,1.0622158160520252
burgers_operator,deeponet,small-med,2000,256,512,1.0570212482714492
burgers_operator,deeponet,small-med,3000,32,64,0.8130014469536913
burgers_operator,deeponet,small-med,3000,64,128,0.8540101606716047
burgers_operator,deeponet,small-med,3000,128,256,0.9613045976127002
burgers_operator,deeponet,small-med,5000,16,32,1.9503561718526872
burgers_operator,deeponet,small-med,5000,32,64,0.8183882968923648
burgers_operator,deeponet,small-med,5000,64,128,0.8123345959648225
burgers_operator,deeponet,small-med,5000,96,192,0.9002845086988406
burgers_operator,deeponet,small-med,5000,128,256,1.007759330114519
burgers_operator,deeponet,small-med,5000,192,384,1.0097721844461092
burgers_operator,deeponet,small-med,5000,256,512,1.0346037189009358
burgers_operator,deeponet,tiny,50,16,32,0.9211087428988988
burgers_operator,deeponet,tiny,50,32,64,0.8868051376791668
burgers_operator,deeponet,tiny,50,64,128,0.9552271725627518
burgers_operator,deeponet,tiny,50,96,192,0.9598457986703345
burgers_operator,deeponet,tiny,50,128,256,0.9947907895710514
burgers_operator,deeponet,tiny,50,192,384,1.0271828857835175
burgers_operator,deeponet,tiny,50,256,512,1.0265620025662607
burgers_operator,deeponet,tiny,100,16,32,0.9370448681799163
burgers_operator,deeponet,tiny,100,32,64,0.8806634456418985
burgers_operator,deeponet,tiny,100,64,128,0.930101165109249
burgers_operator,deeponet,tiny,100,96,192,0.9653507442556203
burgers_operator,deeponet,tiny,100,128,256,0.9831183468274369
burgers_operator,deeponet,tiny,100,192,384,1.0175771142505525
burgers_operator,deeponet,tiny,100,256,512,1.0386217798131483
burgers_operator,deeponet,tiny,150,32,64,0.8496912203412597
burgers_operator,deeponet,tiny,150,64,128,0.9221060192063854
burgers_operator,deeponet,tiny,150,128,256,1.0156125832477547
burgers_operator,deeponet,tiny,200,16,32,0.9746878490719055
burgers_operator,deeponet,tiny,200,32,64,0.8388772137451316
burgers_operator,deeponet,tiny,200,64,128,0.9027781039259708
burgers_operator,deeponet,tiny,200,96,192,0.9890824832455186
burgers_operator,deeponet,tiny,200,128,256,1.025138482753433
burgers_operator,deeponet,tiny,200,192,384,0.9774819696301676
burgers_operator,deeponet,tiny,200,256,512,1.0248096163678262
burgers_operator,deeponet,tiny,300,32,64,0.8137307654986015
burgers_operator,deeponet,tiny,300,64,128,0.9477465119241666
burgers_operator,deeponet,tiny,300,128,256,0.9905731470900204
burgers_operator,deeponet,tiny,500,16,32,1.0118328380614672
burgers_operator,deeponet,tiny,500,32,64,0.8486988781835331
burgers_operator,deeponet,tiny,500,64,128,0.8527697405866954
burgers_operator,deeponet,tiny,500,96,192,0.9517975593712167
burgers_operator,deeponet,tiny,500,128,256,1.0221643866499024
burgers_operator,deeponet,tiny,500,192,384,0.9972323215591818
burgers_operator,deeponet,tiny,500,256,512,1.0142897790706449
burgers_operator,deeponet,tiny,750,32,64,0.8100088312603619
burgers_operator,deeponet,tiny,750,64,128,0.8769155306324681
burgers_operator,deeponet,tiny,750,128,256,0.9804469833423245
burgers_operator,deeponet,tiny,1000,16,32,1.107867285361508
burgers_operator,deeponet,tiny,1000,32,64,0.8354553125759808
burgers_operator,deeponet,tiny,1000,64,128,0.8520222480150375
burgers_operator,deeponet,tiny,1000,96,192,0.9401381098761437
burgers_operator,deeponet,tiny,1000,128,256,1.0158986307428393
burgers_operator,deeponet,tiny,1000,192,384,1.04163546165402
burgers_operator,deeponet,tiny,1000,256,512,1.034718250709295
burgers_operator,deeponet,tiny,2000,16,32,1.0439740395106119
burgers_operator,deeponet,tiny,2000,32,64,0.824423895492236
burgers_operator,deeponet,tiny,2000,64,128,0.867385528539583
burgers_operator,deeponet,tiny,2000,96,192,0.9233122242078818
burgers_operator,deeponet,tiny,2000,128,256,0.9890544729694153
burgers_operator,deeponet,tiny,2000,192,384,1.0429023933094208
burgers_operator,deeponet,tiny,2000,256,512,1.013592675723187
burgers_operator,deeponet,tiny,3000,32,64,0.8125927250228355
burgers_operator,deeponet,tiny,3000,64,128,0.8792255294635616
burgers_operator,deeponet,tiny,3000,128,256,0.9963988382310071
burgers_operator,deeponet,tiny,5000,16,32,0.9878343718671609
burgers_operator,deeponet,tiny,5000,32,64,0.8055944825230443
burgers_operator,deeponet,tiny,5000,64,128,0.8840503832527586
burgers_operator,deeponet,tiny,5000,96,192,0.9272980361756044
burgers_operator,deeponet,tiny,5000,128,256,0.994343898312086
burgers_operator,deeponet,tiny,5000,192,384,1.0597401387147507
burgers_operator,deeponet,tiny,5000,256,512,0.9978447055662836
burgers_operator,deeponet,xlarge,50,16,32,0.9201442637935341
burgers_operator,deeponet,xlarge,50,32,64,0.7972082854121786
burgers_operator,deeponet,xlarge,50,64,128,0.8814569091673886
burgers_operator,deeponet,xlarge,50,96,192,0.9637717556862732
burgers_operator,deeponet,xlarge,50,128,256,1.0084921826334474
burgers_operator,deeponet,xlarge,50,192,384,0.997325042196229
burgers_operator,deeponet,xlarge,50,256,512,0.9981445152474193
burgers_operator,deeponet,xlarge,100,16,32,1.2802287829220815
burgers_operator,deeponet,xlarge,100,32,64,0.7917315517379864
burgers_operator,deeponet,xlarge,100,64,128,0.8460091460459692
burgers_operator,deeponet,xlarge,100,96,192,0.9155693597144461
burgers_operator,deeponet,xlarge,100,128,256,0.9999538399728024
burgers_operator,deeponet,xlarge,100,192,384,1.007724085682362
burgers_operator,deeponet,xlarge,100,256,512,1.0008683001575578
burgers_operator,deeponet,xlarge,150,32,64,0.7578612972127909
burgers_operator,deeponet,xlarge,150,64,128,0.8226023221091916
burgers_operator,deeponet,xlarge,150,128,256,0.9639272789043964
burgers_operator,deeponet,xlarge,200,16,32,1.8656928512332616
burgers_operator,deeponet,xlarge,200,32,64,0.7500504872335385
burgers_operator,deeponet,xlarge,200,64,128,0.8151470814323686
burgers_operator,deeponet,xlarge,200,96,192,0.8816565099241851
burgers_operator,deeponet,xlarge,200,128,256,0.9953778540058701
burgers_operator,deeponet,xlarge,200,192,384,1.0504222721667344
burgers_operator,deeponet,xlarge,200,256,512,0.9923475610941236
burgers_operator,deeponet,xlarge,300,32,64,0.7502667426073979
burgers_operator,deeponet,xlarge,300,64,128,0.8142410205037617
burgers_operator,deeponet,xlarge,300,128,256,0.9399293041667487
burgers_operator,deeponet,xlarge,500,16,32,2.7346822365852206
burgers_operator,deeponet,xlarge,500,32,64,0.7480628424737185
burgers_operator,deeponet,xlarge,500,64,128,0.7741131033283444
burgers_operator,deeponet,xlarge,500,96,192,0.9007606347818687
burgers_operator,deeponet,xlarge,500,128,256,1.0027264775222582
burgers_operator,deeponet,xlarge,500,192,384,0.9833560120222664
burgers_operator,deeponet,xlarge,500,256,512,1.00831496315467
burgers_operator,deeponet,xlarge,750,32,64,0.7639317814753601
burgers_operator,deeponet,xlarge,750,64,128,0.7879372514170913
burgers_operator,deeponet,xlarge,750,128,256,0.9409503087630414
burgers_operator,deeponet,xlarge,1000,16,32,2.445094991591584
burgers_operator,deeponet,xlarge,1000,32,64,0.9818130248068023
burgers_operator,deeponet,xlarge,1000,64,128,0.7828218175546584
burgers_operator,deeponet,xlarge,1000,96,192,0.9500202424153981
burgers_operator,deeponet,xlarge,1000,128,256,0.9768390983029318
burgers_operator,deeponet,xlarge,1000,192,384,0.9276843292152612
burgers_operator,deeponet,xlarge,1000,256,512,0.9712460870775945
burgers_operator,deeponet,xlarge,2000,16,32,2.2663998919385024
burgers_operator,deeponet,xlarge,2000,32,64,1.3291151617608874
burgers_operator,deeponet,xlarge,2000,64,128,0.7631381625091597
burgers_operator,deeponet,xlarge,2000,96,192,0.8846362337400453
burgers_operator,deeponet,xlarge,2000,128,256,1.0167239390189373
burgers_operator,deeponet,xlarge,2000,192,384,0.9752796424103745
burgers_operator,deeponet,xlarge,2000,256,512,0.968495630194211
burgers_operator,deeponet,xlarge,3000,32,64,1.4038634464913096
burgers_operator,deeponet,xlarge,3000,64,128,0.7509066416204004
burgers_operator,deeponet,xlarge,3000,128,256,0.9657355711356956
